year,precip_mm,ssr_Wm-2,evap_mm,snowfall_mm,t2m_degC,ozon_kgm2,windspeed_ms
1940,1.813,161.7,-1.9,0.246,10.7,0.0074,5
1941,1.703,161.8,-1.8,0.242,10.7,0.0073,4.9
1942,1.736,162.3,-1.8,0.234,10.9,0.0071,4.9
1943,1.77,163,-1.9,0.208,11.8,0.0071,5.1
1944,1.752,162.4,-1.9,0.241,11.4,0.0072,5
1945,1.685,164.6,-1.8,0.25,11.6,0.0072,4.9
1946,1.751,163.8,-1.9,0.194,11.7,0.0069,5
1947,1.766,163.4,-1.8,0.256,11.6,0.007,4.9
1948,1.835,161,-1.9,0.193,11.6,0.007,5
1949,1.843,161.6,-1.9,0.226,11.8,0.007,5
1950,1.811,162.6,-1.9,0.215,11.8,0.0072,5
1951,1.934,160.2,-1.9,0.222,11.6,0.0074,5.1
1952,1.85,160.7,-1.9,0.268,11.5,0.0075,5
1953,1.761,161.9,-1.9,0.207,11.6,0.0073,5
1954,1.965,158.4,-1.9,0.23,11.2,0.0075,5.1
1955,1.851,162,-1.9,0.27,11.5,0.0074,4.9
1956,1.801,160.8,-1.9,0.25,10.7,0.0075,5
1957,1.932,158.4,-1.8,0.2,11.6,0.0073,5
1958,1.905,159.5,-1.9,0.261,11.5,0.0072,5
1959,1.825,161.9,-1.9,0.211,11.8,0.0072,5.1
1960,1.996,158.9,-1.9,0.206,11.8,0.0073,4.9
1961,1.857,160.7,-1.9,0.212,12,0.0073,5
1962,1.972,159.7,-2,0.283,11.3,0.0073,5.1
1963,1.969,158,-1.9,0.221,11.2,0.0074,5
1964,1.856,157.6,-1.9,0.205,11.5,0.0071,4.9
1965,2.034,157.1,-1.9,0.271,11.1,0.0072,5
1966,2.107,156.5,-1.9,0.272,11.5,0.0072,5
1967,2.028,157.7,-1.9,0.265,11.6,0.0072,5.1
1968,2.017,157,-1.9,0.285,11.5,0.0077,4.9
1969,2.087,154.9,-2,0.288,11.2,0.0076,5
1970,1.994,157.1,-1.9,0.286,11.4,0.0074,5
1971,2.061,154.6,-1.9,0.272,11.4,0.007,5
1972,2.229,150.2,-1.8,0.186,11.5,0.007,5
1973,1.954,156.7,-1.9,0.294,11.4,0.0072,5
1974,2.066,156.2,-1.9,0.202,11.7,0.0071,5
1975,1.92,157.4,-1.9,0.23,11.8,0.0072,5
1976,1.923,157.2,-1.9,0.25,11.1,0.0073,5
1977,1.985,156.5,-1.9,0.233,11.5,0.0074,5
1978,1.984,156.3,-1.9,0.256,11.1,0.0072,5.1
1979,2.109,155.5,-1.9,0.269,11.3,0.0071,5.1
1980,2.003,155.1,-1.9,0.254,11.1,0.007,5
1981,2.078,155.9,-1.9,0.317,11.5,0.007,5.1
1982,1.984,157.4,-1.9,0.206,11.7,0.0071,5
1983,1.946,155.3,-1.9,0.255,11.8,0.0067,5.1
1984,1.964,156.7,-1.8,0.22,11.6,0.007,5
1985,1.967,157.7,-1.8,0.267,11.1,0.0069,4.9
1986,1.982,157.4,-1.9,0.236,11.4,0.007,5.1
1987,1.959,156,-1.8,0.231,11.3,0.007,4.9
1988,1.993,157.3,-1.9,0.264,11.9,0.0068,5.1
1989,1.887,160.3,-1.9,0.187,12.4,0.0069,5
1990,1.918,160,-1.9,0.202,12.4,0.0068,5.1
1991,1.887,157.1,-1.9,0.194,11.6,0.007,5
1992,1.86,158.4,-1.9,0.22,11.8,0.0066,5.1
1993,1.868,158.6,-1.9,0.237,11.5,0.0065,5.1
1994,1.912,160.9,-1.9,0.212,12.2,0.007,5.1
1995,1.964,160.1,-1.9,0.266,12,0.0067,5.1
1996,1.979,157.7,-1.9,0.223,11.5,0.0067,5
1997,1.978,160.1,-1.9,0.227,12.1,0.0067,5
1998,2.035,157.9,-2,0.23,12,0.0069,5.1
1999,1.992,160.3,-2,0.252,12.4,0.0069,5.1
2000,1.98,161,-1.9,0.214,12.4,0.0067,5
2001,1.942,160.1,-2,0.238,12.3,0.0069,5
2002,1.977,160.4,-1.9,0.184,12.5,0.0068,5
2003,1.885,162.3,-2,0.208,12.4,0.0069,5
2004,1.946,160.4,-1.9,0.224,12.3,0.0069,5
2005,1.92,161.2,-2,0.23,12.2,0.0068,5
2006,1.934,161.2,-1.9,0.197,12.5,0.007,4.9
2007,1.932,161.3,-2,0.194,12.6,0.0069,5.1
2008,1.992,160.7,-2,0.209,12.5,0.0068,5.1
2009,2.067,161.6,-2,0.216,12.5,0.007,5
2010,2.082,158.9,-2,0.261,12.1,0.0071,5
2011,1.925,160.9,-1.9,0.179,12.5,0.0067,5
2012,2.044,161.5,-2,0.241,12.3,0.0068,5
2013,1.986,160.8,-2,0.221,12.4,0.007,5.1
2014,2.074,160.6,-1.9,0.163,13,0.007,5
2015,1.978,160.7,-1.9,0.196,12.8,0.0072,5.1
2016,1.967,160.2,-1.9,0.189,12.8,0.007,5
2017,1.943,161.9,-1.9,0.207,12.7,0.007,5
2018,2.01,161.3,-1.9,0.192,12.9,0.0072,5
2019,2.018,162.3,-1.9,0.201,12.9,0.0071,5.1
2020,2.012,162.4,-1.9,0.179,13.2,0.0069,5.1
2021,1.988,161.8,-1.9,0.219,12.7,0.007,5
2022,1.907,163.1,-1.9,0.202,13.1,0.007,5
2023,2.025,162.3,-1.9,0.214,13.3,0.0069,5
2024,2.046,160.7,-2,0.191,13.6,0.0072,5
